Part;Value;Device;Package;Description;MF;MPN;OC_FARNELL;OC_NEWARK;POPULARITY;PROD_ID;SF_SKU;SPICEPREFIX;
C28;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;88;;;C;
R23;1.8R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R40;1.8R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R45;1.8R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R52;1.8R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
C3;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C4;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C6;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C7;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C8;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C13;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C15;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C16;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C18;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C36;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C37;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C42;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C43;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C48;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C49;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C95;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C96;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C98;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C99;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C101;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C102;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C27;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;88;;;C;
R68;10k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
R69;10k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
R75;10k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
C11;10n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
R85;10R;R-EU_R1206;R1206;RESISTOR, European symbol;;;;;41;;;R;
C2;10u;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;54;;;C;
C14;10u;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;54;;;C;
